seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
ea6961d619,2,2949.5,1,0.0,0.0,1,2949.5,2.0,7.989729926497223,1.0986122886681098,2
ea69b516ba,4,3999.0,1,1.0,0.0,1,3999.0,4.0,8.294049640102028,1.6094379124341005,0
ea6a33acb0,237,2077.929,1,1.0,0.0,2,2077.929,237.0,7.639608136240702,5.472270673671475,0
ea6b504cfc,4,949.0,1,1.0,0.0,1,949.0,4.0,6.856461984594587,1.6094379124341005,0
ea6d77a7ff,422,330.5566666666667,1,1.0,0.0,3,330.5566666666667,422.0,5.803798735188251,6.0473721790462776,0
ea6dee3bf8,5,1122.8966666666663,2,1.0,0.0,1,1122.8966666666663,5.0,7.024557092656905,1.791759469228055,1
ea6dee8c8f,44,654.25,1,1.0,0.0,2,654.25,44.0,6.485016842203516,3.80666248977032,0
ea6e2254e3,260,289.5,1,1.0,0.0,1,289.5,260.0,5.671603576291966,5.564520407322694,0
ea72a3832d,1,22000.0,1,1.0,0.0,1,22000.0,1.0,9.99884318585288,0.6931471805599453,0
ea7a415351,1,850.0,1,1.0,0.0,1,850.0,1.0,6.746412128573375,0.6931471805599453,0
ea7a522759,1,1700.0,1,1.0,0.0,1,1700.0,1.0,7.438971592395862,0.6931471805599453,0
ea7b5c7815,1,45000.0,1,1.0,0.0,1,45000.0,1.0,10.714439990727769,0.6931471805599453,0
ea7de60637,39,261.7,1,1.0,0.0,1,261.7,39.0,5.571012696691494,3.688879454113936,0
ea7e10b9b0,1,15489.5,1,1.0,0.0,1,15489.5,1.0,9.647982211779569,0.6931471805599453,0
ea7e53d013,1,570.0,1,1.0,0.0,1,570.0,1.0,6.3473892096560105,0.6931471805599453,0
ea84275607,1,450.0,1,1.0,0.0,1,450.0,1.0,6.111467339502679,0.6931471805599453,0
ea85ac2715,2,1480.0,1,1.0,0.0,1,1480.0,2.0,7.300472814267799,1.0986122886681098,0
ea862023e1,1,1849.0,1,1.0,0.0,1,1849.0,1.0,7.52294091807237,0.6931471805599453,0
ea8652e114,10,1313.1,1,1.0,0.0,1,1313.1,10.0,7.180907299649593,2.3978952727983707,0
ea86c069f9,22,208.6,1,1.0,0.0,1,208.6,22.0,5.345200952446887,3.1354942159291497,0
ea87046b0b,82,448.0,2,1.0,0.0,2,448.0,82.0,6.107022887742255,4.418840607796598,1
ea88618a38,234,267.54,1,1.0,0.0,2,267.54,234.0,5.592999878644562,5.459585514144159,0
ea8a129e91,431,377.42333333333335,2,1.0,0.0,2,377.42333333333335,431.0,5.936013498419689,6.068425588244111,1
ea8a4fd4fa,84,1686.9038461538462,2,1.0,0.0,10,1686.9038461538462,84.0,7.431242710354438,4.442651256490317,6
ea8b25691b,0,5200.0,1,1.0,0.0,1,5200.0,0.0,8.556606193773073,0.0,0
ea8c7df5cd,1,7500.0,1,0.0,0.0,1,7500.0,1.0,8.922791623969637,0.6931471805599453,2
ea915511e0,420,389.0,1,1.0,0.0,1,389.0,420.0,5.966146739123692,6.042632833682381,0
ea91c6fb09,614,1443.5683333333334,2,1.0,0.0,1,1443.5683333333334,614.0,7.275565824660253,6.421622267806518,1
ea921b0a47,4,1380.0,1,0.0,0.0,1,1380.0,4.0,7.2305631534092925,1.6094379124341005,2
ea922601e1,1,1000.0,1,1.0,0.0,1,1000.0,1.0,6.90875477931522,0.6931471805599453,0
ea925139c4,75,2049.4,1,0.0,0.0,1,2049.4,75.0,7.625790175049861,4.330733340286331,2
ea94256990,2,1675.0,1,0.0,0.0,1,1675.0,2.0,7.424165281042028,1.0986122886681098,2
ea94aca2c3,18,294.5,1,1.0,0.0,1,294.5,18.0,5.688668836846153,2.9444389791664403,0
