seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log
cf7322e382,1,1000.0,1,1.0,0.0,1,1000.0,1.0,6.90875477931522,0.6931471805599453
cf73c280dd,1,549.0,1,0.0,0.0,1,549.0,1.0,6.309918278226516,0.6931471805599453
cf744e39ae,5,600.0,1,1.0,0.0,1,600.0,5.0,6.398594934535208,1.791759469228055
cf75238d59,1,3698.0,1,1.0,0.0,1,3698.0,1.0,8.215817791832453,0.6931471805599453
cf76ac463c,32,167.09411764705882,1,1.0,0.0,1,167.09411764705882,32.0,5.124524046625964,3.4965075614664802
cf786cea79,100,58.99,1,1.0,0.0,1,58.99,100.0,4.094177881665002,4.61512051684126
cf78c9221c,4,2628.3333333333335,1,1.0,0.0,1,2628.3333333333335,4.0,7.8744856076143614,1.6094379124341003
cf79d04509,5,750.0,1,1.0,0.0,1,750.0,5.0,6.621405651764134,1.791759469228055
cf7a24281f,3,2813.3333333333335,1,1.0,0.0,3,2813.3333333333335,3.0,7.942480686001391,1.3862943611198906
cf7c649252,20,997.0,1,1.0,0.0,1,997.0,20.0,6.905753276311464,3.044522437723423
cf7c9917a6,19,401.0,2,1.0,0.0,3,401.0,19.0,5.996452088619021,2.995732273553991
cf7eb77f5a,10,1775.0,1,1.0,0.0,1,1775.0,10.0,7.4821189235521155,2.3978952727983707
cf7ec965ca,28,114.0,2,1.0,0.0,2,114.0,28.0,4.74493212836325,3.367295829986474
cf7ee01d37,2,540.375,1,1.0,0.0,2,540.375,2.0,6.294112199534791,1.0986122886681098
cf825dc0de,19,283.19,2,1.0,0.0,2,283.19,19.0,5.649643028555553,2.995732273553991
cf84305d88,1,664.05,1,1.0,0.0,1,664.05,1.0,6.499862225799305,0.6931471805599453
cf84a36f9f,380,5900.6906976744185,2,1.0,0.0,18,5900.6906976744185,380.0,8.682994147771511,5.942799375126701
cf883a1acb,1,150.0,1,0.0,0.0,1,150.0,1.0,5.017279836814924,0.6931471805599453
cf89b1d183,1,1099.45,1,1.0,0.0,1,1099.45,1.0,7.003474466040681,0.6931471805599453
cf8a8d1101,1,2999.0,1,1.0,0.0,1,2999.0,1.0,8.006367567650246,0.6931471805599453
cf8d20a111,24,75.05,1,1.0,0.0,1,75.05,24.0,4.331391018705302,3.2188758248682006
cf8d69e4d6,25,960.55,1,1.0,0.0,1,960.55,25.0,6.868546565756856,3.258096538021482
cf8dd47181,1,298.0,1,1.0,0.0,1,298.0,1.0,5.700443573390687,0.6931471805599453
cf9089863b,384,286.0,1,0.3333333333333333,0.0,3,286.0,384.0,5.659482215759621,5.953243334287785
cf908ba1e4,94,423.88,1,1.0,0.0,2,423.88,94.0,6.051806776114144,4.553876891600541
cf91a08db6,1,8499.0,1,1.0,0.0,1,8499.0,1.0,9.047821442478408,0.6931471805599453
cf94a6a477,1,250000.0,1,0.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453
cf96e3c0d8,111,313.57142857142856,1,1.0,0.0,6,313.57142857142856,111.0,5.751211168227312,4.718498871295094
